Anio,JRF,JC,PJRF,Fecha
2010,15699,17666,0.888656176,2010-01-01
2011,17725,19953,0.888337593,2011-01-01
2012,31404,33718,0.931371967,2012-01-01
2013,22763,24926,0.91322314,2013-01-01
2014,17687,20089,0.880432077,2014-01-01
2015,13591,15755,0.862646779,2015-01-01
2016,16658,19394,0.858925441,2016-01-01
2017,15673,19335,0.810602534,2017-01-01
2018,15596,18292,0.852613164,2018-01-01
2019,11358,12772,0.88928907,2019-01-01
2020,6926,8159,0.848878539,2020-01-01
2021,8975,11177,0.80298828,2021-01-01
2022,10840,18634,0.581732317,2022-01-01
2023,13907,26190,0.5310042,2023-01-01
